dataset,scale,model,num,rgb_psnr_min,rgb_psnr_avg,rgb_psnr_max,rgb_mse_min,rgb_mse_avg,rgb_mse_max,y_psnr_min,y_psnr_avg,y_psnr_max,y_mse_min,y_mse_avg,y_mse_max,ssim_min,ssim_avg,ssim_max,uqi_min,uqi_avg,uqi_max,entropy_perc_min,entropy_perc_avg,entropy_perc_max,brisque_perc_min,brisque_perc_avg,brisque_perc_max,brisque_perc_y_min,brisque_perc_y_avg,brisque_perc_y_max,hr_entropy_min,hr_entropy_avg,hr_entropy_max,up_entropy_min,up_entropy_avg,up_entropy_max,hr_brisque_min,hr_brisque_avg,hr_brisque_max,up_brisque_min,up_brisque_avg,up_brisque_max,hr_y_brisque_min,hr_y_brisque_avg,hr_y_brisque_max,up_y_brisque_min,up_y_brisque_avg,up_y_brisque_max
Set5,2,bicubic,5,26.11928609,31.788285471999995,35.61690119,17.83981069,59.53369855,158.9101919,26.13774374,32.337943452000005,35.76110646,17.25717545,55.305162648,158.2362518,0.860439339,0.9296927138000001,0.973083462,0.982838425,0.9908314307999999,0.996189634,-0.001242027,0.025336325399999998,0.120408514,0.485464698,2.2740628336,4.176749634,-0.708818008,-0.07071965700000002,0.213355044,6.534286017,6.534286017,6.534286017,7.243632115,7.243632115,7.243632115,6.463248348,6.463248348,6.463248348,33.45861853,33.45861853,33.45861853,81.41024044,81.41024044,81.41024044,45.37925756,45.37925756,45.37925756
Set5,2,glasner,5,29.53695955,33.31513784,36.38664824,14.94223412,36.181692598,72.34098307,29.66573288,34.079157394,37.49121613,11.58667294,31.249757885999998,70.22747803,0.871637279,0.9449597514000001,0.980264103,0.983564712,0.9916973802,0.997106058,-0.001370939,0.0245836646,0.119768081,0.279312907,1.6810529490000001,2.901528922,-0.105787319,0.028611353399999994,0.137806825,6.534286017,6.534286017,6.534286017,7.252267717,7.252267717,7.252267717,6.463248348,6.463248348,6.463248348,25.21655036,25.21655036,25.21655036,81.41024044,81.41024044,81.41024044,86.53105375,86.53105375,86.53105375
Set5,2,nearest,5,23.53362032,29.077161118000003,32.73198703,34.66423798,108.363260678,288.2161611,23.45237615,29.559556851999996,32.81521442,34.00626373,103.967361246,293.6586151,0.843625446,0.902267599,0.939526624,0.97962056,0.986700491,0.994321967,-0.00220325,0.0235982016,0.116657522,-0.619995896,0.020170845199999964,0.745207942,-0.71703309,-0.1509005728,0.297581797,6.534286017,6.534286017,6.534286017,7.236660712,7.236660712,7.236660712,6.463248348,6.463248348,6.463248348,2.456060896,2.456060896,2.456060896,81.41024044,81.41024044,81.41024044,44.09897807,44.09897807,44.09897807
Set5,2,SRCNN,5,30.59274619,33.979078528,37.32958818,12.02600952,30.800955402,56.7290802,30.78411842,34.889930996,38.9230245,8.332549672,25.754774576400003,54.28358459,0.881863679,0.9507394096,0.984155752,0.983865024,0.9920512911999999,0.997448578,-0.00141182,0.0267580836,0.12323357,0.102778199,1.2936179718,2.093013439,-0.123428811,0.0444968276,0.27200757,6.534286017,6.534286017,6.534286017,7.260872817,7.260872817,7.260872817,6.463248348,6.463248348,6.463248348,19.990914,19.990914,19.990914,81.41024044,81.41024044,81.41024044,75.22843521,75.22843521,75.22843521
Set5,2,ScSR,5,29.2147846,33.558041382,37.02546505,12.89834105,35.812025544,77.91156006,29.32202598,34.390584858,38.34403198,9.520881559,30.937679331800002,76.01123047,0.878517338,0.948217629,0.983271823,0.984086905,0.9920575783999999,0.997388388,-0.001230842,0.0253838494,0.120855615,0.212187426,1.6443585046000002,2.8709492,-0.013739238,0.2037905646,0.886824094,6.534286017,6.534286017,6.534286017,7.254180193,7.254180193,7.254180193,6.463248348,6.463248348,6.463248348,25.01890603,25.01890603,25.01890603,81.41024044,81.41024044,81.41024044,84.64213155,84.64213155,84.64213155
Set5,2,SelfExSR,5,30.40275964,34.388777798,38.43242411,9.329061375,29.503705173000004,59.26583354,30.54753545,35.075303798,39.21321663,7.793969425,25.375080701,57.32272339,0.88481663,0.9544081712000001,0.98746423,0.985870971,0.9940464978,0.998146028,-0.000881697,0.0256289588,0.120998497,0.22000461,1.4935529202,2.573233622,-6.08e-12,0.056688625798784,0.184094319,6.534286017,6.534286017,6.534286017,7.247651891,7.247651891,7.247651891,6.463248348,6.463248348,6.463248348,23.09469631,23.09469631,23.09469631,81.41024044,81.41024044,81.41024044,84.94406513,84.94406513,84.94406513
Set5,2,FSRCNN,5,31.80994174,34.497420162000004,38.04253253,10.20533131,26.798452228000002,42.86335754,32.01961566,35.381074586,39.68247193,6.99573206,22.156068396000002,40.84310913,0.884089247,0.9554851789999999,0.987316655,0.982514632,0.9911736576000001,0.997281828,-0.001959027,0.0261878164,0.125984381,0.013688012,0.9589138036,1.660065675,-0.363507864,0.005272714748399998,0.216459578,6.534286017,6.534286017,6.534286017,7.245854252,7.245854252,7.245854252,6.463248348,6.463248348,6.463248348,16.18907351,16.18907351,16.18907351,81.41024044,81.41024044,81.41024044,54.6245508,54.6245508,54.6245508
Set5,3,bicubic,5,22.7780152,28.621171724,32.50647415,36.51177496,124.887858746,342.9879328,22.73114104,29.074270000000002,32.62867294,35.49875048,119.92627559600001,346.7099116,0.795752652,0.8684871072,0.926821066,0.974414794,0.9828433750000001,0.992902954,-0.001856616,0.0282609404,0.127194469,0.972858891,3.268891506,7.138267656,-0.557917784,0.137267034,0.66437592,6.524062534,6.524062534,6.524062534,7.258460172,7.258460172,7.258460172,6.67205082,6.67205082,6.67205082,49.8661681,49.8661681,49.8661681,81.24412422,81.24412422,81.24412422,68.89630301,68.89630301,68.89630301
Set5,3,glasner,5,23.09763579,29.222747344,32.84888915,33.74360246,110.18041846399998,318.6520979,23.07374179,29.764067428000004,33.05555137,32.17549404,104.16173533999999,320.4100884,0.796919725,0.8823367517999999,0.938429506,0.971369442,0.9826078627999999,0.994131852,-0.000947494,0.0297784078,0.126759536,0.52087056,2.0522092238,4.396381816,-0.716355026,-0.00333154660000001,0.874879759,6.524062534,6.524062534,6.524062534,7.274301619,7.274301619,7.274301619,6.67205082,6.67205082,6.67205082,36.00493372,36.00493372,36.00493372,81.24412422,81.24412422,81.24412422,44.20465102,44.20465102,44.20465102
Set5,3,nearest,5,20.56835606,26.222027947999997,29.65416106,70.41484942,213.20730824799998,570.4856901,20.44321124,26.635822931999996,30.2520199,61.35901389,207.828652994,587.1637524,0.761033648,0.8197076041999999,0.865596705,0.963623217,0.9756242462,0.989878903,-0.001858782,0.0253296446,0.122695228,0.55878732,1.7115285526000001,3.227190478,-0.813909576,0.08065416019999999,0.439574778,6.524062534,6.524062534,6.524062534,7.239349483,7.239349483,7.239349483,6.67205082,6.67205082,6.67205082,28.20402969,28.20402969,28.20402969,81.24412422,81.24412422,81.24412422,29.00126218,29.00126218,29.00126218
Set5,3,SRCNN,5,26.08782895,30.307458659999998,33.40279519,29.70303601,72.410763986,160.0654005,26.16257537,30.990081249999996,33.66938469,27.93456363,65.347071698,157.3340869,0.818694866,0.9024640158,0.950411238,0.971864949,0.9849298698,0.994821382,-0.000935974,0.0295600078,0.129118111,0.580363664,2.2190279437999996,4.132308318,-0.337001226,0.18145801160000002,0.918231029,6.524062534,6.524062534,6.524062534,7.278529667,7.278529667,7.278529667,6.67205082,6.67205082,6.67205082,34.24302192,34.24302192,34.24302192,81.24412422,81.24412422,81.24412422,84.51300796,84.51300796,84.51300796
Set5,3,ScSR,5,23.88741342,29.414961474000002,33.19604568,31.15127259,100.38124592199999,265.6678611,23.86817165,29.987010767999998,33.41334734,29.63095348,94.40022730999999,266.8475356,0.812843008,0.8873927688000001,0.942464148,0.973929177,0.9840042002,0.993449939,-0.001397592,0.0297308676,0.128501498,0.699530621,2.6187932372,5.617381732,-0.140183711,0.05105458760000001,0.14139368,6.524062534,6.524062534,6.524062534,7.270456631,7.270456631,7.270456631,6.67205082,6.67205082,6.67205082,43.20462815,43.20462815,43.20462815,81.24412422,81.24412422,81.24412422,82.86971491,82.86971491,82.86971491
Set5,3,SelfExSR,5,25.51057783,30.70320714,33.72314015,27.59093041,71.944111784,182.8195258,25.54171148,31.248488310000006,34.27146735,24.31832321,66.68161450599999,181.5136178,0.825956078,0.9104316386000001,0.960782735,0.97862905,0.9883911515999999,0.995955629,-0.001181292,0.027324441200000004,0.125715878,0.480314812,2.1008061531999997,4.713558885,-0.543667864,-0.09277397400000001,0.14691163,6.524062534,6.524062534,6.524062534,7.248123781,7.248123781,7.248123781,6.67205082,6.67205082,6.67205082,34.54510002,34.54510002,34.54510002,81.24412422,81.24412422,81.24412422,71.11708169,71.11708169,71.11708169
Set5,3,FSRCNN,5,26.36038713,30.472091147999997,33.33670708,30.15849417,69.003536558,150.3286121,26.44739365,31.142088718000004,33.68347558,27.84407552,62.184675506000005,147.3468973,0.818042916,0.9042082516000001,0.952926672,0.967758759,0.9838966228,0.994380786,-0.000354467,0.030824997399999998,0.134560608,0.380193303,1.3967101818,2.843130726,-0.852371247,-0.2172983614,0.22296012,6.524062534,6.524062534,6.524062534,7.268983257,7.268983257,7.268983257,6.67205082,6.67205082,6.67205082,25.4896972,25.4896972,25.4896972,81.24412422,81.24412422,81.24412422,23.007203,23.007203,23.007203
Set5,4,bicubic,5,20.9034266,26.694364042,30.41843145,59.05235418,194.301279298,528.1261851,20.82119641,27.106593712,30.50944516,57.82769012,188.63123024,538.2210999,0.735936804,0.8064708728,0.868088087,0.960965666,0.974627954,0.989294627,-0.002224419,0.0300204542,0.129795438,,,,,,,6.534286017,6.534286017,6.534286017,7.277824749,7.277824749,7.277824749,,,,,,,,,,,,
Set5,4,glasner,5,21.0672361,26.98593895,30.80044705,54.07987213,185.00780404199998,508.5770416,21.00766265,27.496751008,30.96210249,52.10388565,177.76068825800002,515.6014099,0.753632436,0.819481974,0.882524238,0.956345917,0.9732617018,0.989324137,-0.002339264,0.0323156628,0.129035341,,,,,,,6.534286017,6.534286017,6.534286017,7.289291514,7.289291514,7.289291514,,,,,,,,,,,,
Set5,4,nearest,5,18.96542451,24.607357849999996,27.86441772,106.3257828,310.67412103999993,825.1595103,18.8169869,24.987630824,29.03292241,81.24340561,304.5297251420001,853.850174,0.665153245,0.7456565122000001,0.802695295,0.945976308,0.9653502643999999,0.98533952,-0.002631168,0.026201558599999997,0.125176751,,,,,,,6.534286017,6.534286017,6.534286017,7.24577418,7.24577418,7.24577418,,,,,,,,,,,,
