track,method,scale,imgs,ssim_avg,ssim_min,ssim_max,mse_avg,mse_min,mse_max,psnr_min,psnr_max
Track 1 (Cropped),Bicubic,2,100,0.7050577144329236,0.3817765362311025,0.8790203892083865,132.94597017008454,6.552474823742465,1223.1663397080283,-30.87485521226857,-8.16405360953132
Track 1 (Cropped),Bicubic,3,100,0.5145905009279109,0.1847729019023649,0.7131788532279425,244.2323896259312,12.693736826878489,1933.6241340028123,-32.86372057961674,-11.035894900533075
Track 1 (Cropped),Bicubic,4,100,0.4254323388963349,0.1354170397464601,0.6638856363593456,290.0365153215973,15.723567127480598,1892.6909654683843,-32.77079709078363,-11.965510791105118
Track 1 (Cropped),Real-ESRGAN (ESRGAN),4,100,0.37691625067595497,0.06405029423604335,0.7731816743027202,461.4627139059865,8.430794144027404,4514.452219895093,-36.5460506089328,-9.258684851970733
Track 1 (Cropped),Real-ESRGAN (PSNR),4,100,0.37691625067595497,0.06405029423604335,0.7731816743027202,461.4627139059865,8.430794144027404,4514.452219895093,-36.5460506089328,-9.258684851970733
Track 1 (Cropped),SRCNN,2,100,0.7222171569049755,0.45084936054351504,0.8863755056327407,143.96799561241346,7.190241519627625,1341.7771633053253,-31.276803960248102,-8.567434785442032
Track 1 (Cropped),SRCNN,3,100,0.5249008232607484,0.20983187779120133,0.7182915521223889,259.35709174460686,13.344510096526223,2065.007469837545,-33.14921626986782,-11.25302634603051
Track 1 (Cropped),SRCNN,4,100,0.432606131306936,0.15047974213646273,0.6455771721586067,293.64341466603446,16.066201986799665,1870.3141438428693,-32.7191455812963,-12.059132226797376
Track 1 (Cropped),FSRCNN,2,100,0.8235244095902254,0.5298127558551653,0.9666601559944449,53.514907223473244,1.6785191466458789,313.6966023933397,-24.96509814936779,-2.2492629955199455
Track 1 (Cropped),FSRCNN,3,100,0.6593561065824105,0.3131141687411068,0.8746261944569902,120.6795279599676,4.175058700414125,1057.3624216983176,-30.24223871664836,-6.206625859481775
Track 1 (Cropped),FSRCNN,4,100,0.4289974820680449,0.08992495210185411,0.7580908781017779,311.3359693074779,10.302872181191134,2583.2848443588587,-34.12172296035028,-10.129583119438298
Track 2 (Cropped),Bicubic,2,100,0.4631932426857197,0.12488262608520398,0.7009232136570154,235.68406412441914,10.310341455139577,1828.9504448152177,-32.622019384808674,-10.132730483705544
Track 2 (Cropped),Bicubic,3,100,0.395413320649787,0.1097020435594755,0.6280999763440032,293.14539677069314,14.96048328166578,1980.5436352008253,-32.967844151918015,-11.749456231521417
Track 2 (Cropped),Bicubic,4,100,0.1494402326403265,0.009319678729774938,0.4863262303140727,547.5310612559956,34.56659265420727,2537.3175136335326,-34.04374817158951,-15.386565717782371
Track 2 (Cropped),Real-ESRGAN (ESRGAN),4,100,0.1691331795174728,0.012833488189328663,0.4807250056491492,533.3180456099087,33.56965212553737,2550.823746261868,-34.06680451290947,-15.259468407790724
Track 2 (Cropped),Real-ESRGAN (PSNR),4,100,0.1691331795174728,0.012833488189328663,0.4807250056491492,533.3180456099087,33.56965212553737,2550.823746261868,-34.06680451290947,-15.259468407790724
Track 2 (Cropped),SRCNN,2,100,0.47437591548214114,0.13138961142773709,0.6998408864312601,229.54440155473003,10.211198609558423,1849.585514090274,-32.670744153697086,-10.090767233762783
Track 2 (Cropped),SRCNN,3,100,0.5249008232607484,0.20983187779120133,0.7182915521223889,259.35709174460686,13.344510096526223,2065.007469837545,-33.14921626986782,-11.25302634603051
Track 2 (Cropped),SRCNN,4,100,0.14407579709559154,0.0010873650296062915,0.47784936310175996,554.1106842967961,34.63853660712926,2566.6642668580635,-34.093690643914734,-15.395595358605082
Track 2 (Cropped),FSRCNN,2,100,0.4002699377929739,0.08191869901347122,0.6261764518668406,287.22342611810126,14.474329560354976,2172.8087747796208,-33.370215064805045,-11.605984566839973
Track 2 (Cropped),FSRCNN,3,100,0.4555529978701688,0.14047487113231485,0.6875336360182306,232.50555097579866,10.923317353536717,1680.4793094033957,-32.25433169666401,-10.383545513307723
Track 2 (Cropped),FSRCNN,4,100,0.1657991293849837,0.0055780874092306075,0.45776376344342234,523.1543221961509,33.24319220767869,2468.060928779382,-33.92355876879053,-15.217027206359802
